Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def volume_percentage_used(self, volume):
        
        volume = self._get_volume(volume)
        if volume is not None:
            total = int(volume[""size""][""total""])
            used = int(volume[""size""][""used""])

            if used is not None and used > 0 and \
               total is not None and total > 0:
                return round((float(used) / float(total)) * 100.0, 1)","

def func1(arg1, arg2):
    arg2 = self._get_volume(arg2)
    if (arg2 is not None):
        var1 = int(arg2['size']['total'])
        var3 = int(arg2['size']['used'])
        if ((var3 is not None) and (var3 > 0) and (var1 is not None) and (var1 > 0)):
            return round(((float(var3) / float(var1)) * 100.0), 1)
",Total used size in percentage for volume,Return the percentage of total and used in arg1 to arg2,Get the percentage used for a volume .,0,Prediction2,
"def _copy_from(entries, remote_path, local_path, profile):
    
    commands = []
    paths = set()
    for entry in entries:
        hname = entry.hostname or entry.public_ip
        _local_path = entry.format_string(local_path)
        if _local_path in paths:
            raise ValueError('Duplicate local paths: one or more paths '
                             'had value {} after formatting.'
                             .format(local_path))
        paths.add(_local_path)
        # If the path references a folder, create the folder if it doesn't
        # exist.
        _folder = os.path.split(_local_path)[0]
        if len(_folder) > 0:
            if not os.path.exists(_folder):
                print('Creating directory ' + _folder)
                os.makedirs(_folder)
        cmd = _build_scp_command(hname, profile.username,
                                 profile.identity_file,
                                 is_get=True,
                                 local_path=_local_path,
                                 remote_path=remote_path)
        print('Command:', cmd)
        commands.append({
            'command': cmd,
            'description': entry.display()
        })
    stream_commands(commands)
    print(green('Finished copying'))","

def func1(arg1, arg2, arg3, arg4):
    var1 = []
    var2 = set()
    for var4 in arg1:
        var5 = (entry.hostname or entry.public_ip)
        var6 = entry.format_string(arg3)
        if (var6 in var2):
            raise ValueError('Duplicate local paths: one or more paths had value {} after formatting.'.format(arg3))
        paths.add(var6)
        var8 = os.path.split(var6)[0]
        if (len(var8) > 0):
            if (not os.path.exists(var8)):
                print(('Creating directory ' + var8))
                os.makedirs(var8)
        var11 = _build_scp_command(var5, profile.username, profile.identity_file, is_get=True, local_path=var6, remote_path=arg2)
        print('Command:', var11)
        commands.append({'command': var11, 'description': entry.display()})
    stream_commands(var1)
    print(green('Finished copying'))
",Performs an SCP command where the remote_path is the source and the local_path is a format string formatted individually for each host being copied from so as to create one or more distinct paths on the local system .,Copy files from a list of entries to a local path .,Copy a list of entries to a local file,1,Prediction1,
"def normalize_spl_by_average(self, db):
        
        arr = self.to_numpy_array().copy()
        if len(arr) == 0:
            raise ValueError(""Cannot normalize the SPL of an empty AudioSegment"")

        def rms(x):
            return np.sqrt(np.mean(np.square(x)))

        # Figure out what RMS we would like
        desired_rms = P_REF_PCM * ((10 ** (db/20.0)) - 1E-9)

        # Use successive approximation to solve
        ## Keep trying different multiplication factors until we get close enough or run out of time
        max_ntries = 50
        res_rms = 0.0
        ntries = 0
        factor = 0.1
        left = 0.0
        right = desired_rms
        while (ntries < max_ntries) and not util.isclose(res_rms, desired_rms, abs_tol=0.1):
            res_rms = rms(arr * factor)
            if res_rms < desired_rms:
                left = factor
            else:
                right = factor
            factor = 0.5 * (left + right)
            ntries += 1

        dtype_dict = {1: np.int8, 2: np.int16, 4: np.int32}
        dtype = dtype_dict[self.sample_width]
        new_seg = from_numpy_array(np.array(arr * factor, dtype=dtype), self.frame_rate)
        return new_seg","

def func2(arg1, arg2):
    var1 = self.to_numpy_array().copy()
    if (len(var1) == 0):
        raise ValueError('Cannot normalize the SPL of an empty AudioSegment')

    def func1(arg3):
        return np.sqrt(np.mean(np.square(arg3)))
    var4 = (var5 * ((10 ** (arg2 / 20.0)) - 1e-09))
    var6 = 50
    var7 = 0.0
    var8 = 0
    var9 = 0.1
    var10 = 0.0
    var11 = var4
    while ((var8 < var6) and (not util.isclose(var7, var4, abs_tol=0.1))):
        var7 = rms((var1 * var9))
        if (var7 < var4):
            var10 = var9
        else:
            var11 = var9
        var9 = (0.5 * (var10 + var11))
        var8 += 1
    var12 = {1: np.int8, 2: np.int16, 4: np.int32}
    var13 = var12[self.sample_width]
    var14 = from_numpy_array(np.array((var1 * var9), dtype=var13), self.frame_rate)
    return var14
",Normalize the values in the AudioSegment so that its spl property gives db .,Normalize the audio segment by averaging the average RMS .,Function to normalize the SPL .,1,Prediction1,
"def get_component(self, colour, tolerance=0, default=None):
        
        if not (0 <= tolerance <= np.sqrt(195075)):
            raise LegendError('Tolerance must be between 0 and 441.67')

        for decor in self.__list:
            if colour.lower() == decor.colour:
                return decor.component

        # If we're here, we didn't find one yet.
        r1, g1, b1 = utils.hex_to_rgb(colour)

        # Start with a best match of black.
        best_match = '#000000'
        best_match_dist = np.sqrt(r1**2. + g1**2. + b1**2.)

        # Now compare to each colour in the legend.
        for decor in self.__list:
            r2, g2, b2 = decor.rgb
            distance = np.sqrt((r2-r1)**2. + (g2-g1)**2. + (b2-b1)**2.)
            if distance < best_match_dist:
                best_match = decor.component
                best_match_dist = distance
                best_match_colour = decor.colour

        if best_match_dist <= tolerance:
            return best_match
        else:
            with warnings.catch_warnings():
                warnings.simplefilter(""always"")
                w = ""No match found for {0} "".format(colour.lower())
                w += ""with tolerance of {0}. Best match is "".format(tolerance)
                w += ""{0}, {1}"".format(best_match.summary(), best_match_colour)
                w += "", d={0}"".format(best_match_dist)
                warnings.warn(w)

            return default","

def func1(arg1, arg2, arg3=0, arg4=None):
    if (not (0 <= arg3 <= np.sqrt(195075))):
        raise LegendError('Tolerance must be between 0 and 441.67')
    for var2 in self.__list:
        if (colour.lower() == decor.colour):
            return decor.component
    (var3, var4, var5) = utils.hex_to_rgb(arg2)
    var6 = '#000000'
    var7 = np.sqrt((((var3 ** 2.0) + (var4 ** 2.0)) + (var5 ** 2.0)))
    for var2 in self.__list:
        (var8, var9, var10) = decor.rgb
        var11 = np.sqrt(((((var8 - var3) ** 2.0) + ((var9 - var4) ** 2.0)) + ((var10 - var5) ** 2.0)))
        if (var11 < var7):
            var6 = decor.component
            var7 = var11
            var12 = decor.colour
    if (var7 <= arg3):
        return var6
    else:
        with warnings.catch_warnings():
            warnings.simplefilter('always')
            var13 = 'No match found for {0} '.format(colour.lower())
            var13 += 'with tolerance of {0}. Best match is '.format(arg3)
            var13 += '{0}, {1}'.format(best_match.summary(), var12)
            var13 += ', d={0}'.format(var7)
            warnings.warn(var13)
        return arg4
",Get the component corresponding to a display colour . This is for generating a Striplog object from a colour image of a striplog .,Get the component of a given colour .,This function is used to determine the color of a color .,1,Prediction1,
"def has_no_title(self, title, **kwargs):
        

        try:
            self.assert_no_title(title, **kwargs)
            return True
        except ExpectationNotMet:
            return False","

def func1(arg1, arg2, **arg3):
    try:
        self.assert_no_title(arg2, **arg3)
        return True
    except ExpectationNotMet:
        return False
",Checks if the page doesn t have the given title .,Returns True if the page has no title False otherwise .,Return True if arg1 == arg2 and False otherwise .,1,Prediction1,
"def authenticate_client_id(self, client_id, request, *args, **kwargs):
        
        if client_id is None:
            client_id, _ = self._get_client_creds_from_request(request)

        log.debug('Authenticate client %r.', client_id)
        client = request.client or self._clientgetter(client_id)
        if not client:
            log.debug('Authenticate failed, client not found.')
            return False

        # attach client on request for convenience
        request.client = client
        return True","

def func1(arg1, arg2, arg3, *arg4, **arg5):
    if (arg2 is None):
        (arg2, var1) = self._get_client_creds_from_request(arg3)
    log.debug('Authenticate client %r.', arg2)
    var2 = (request.client or self._clientgetter(arg2))
    if (not var2):
        log.debug('Authenticate failed, client not found.')
        return False
    request.client = var2
    return True
",Authenticate a non - confidential client .,Authenticate a client .,Authenticate a client .,1,Tie,
"def process_result_value(self, value, dialect):
        
        masks = list()
        if value:
            for e in enums.CryptographicUsageMask:
                if e.value & value:
                    masks.append(e)
        return masks","

def func1(arg1, arg2, arg3):
    var1 = list()
    if arg2:
        for var3 in enums.CryptographicUsageMask:
            if (e.value & arg2):
                masks.append(var3)
    return var1
",Returns a new list of enums . CryptographicUsageMask Enums . This converts the integer value into the list of enums .,Return a list of cryptographic usage masks .,Return a list of CryptographicUsageMask objects .,0,Tie,
"def query(self, minhash, size):
        '''
        
        '''
        for i, index in enumerate(self.indexes):
            u = self.uppers[i]
            if u is None:
                continue
            b, r = self._get_optimal_param(u, size)
            for key in index[r]._query_b(minhash, b):
                yield key","

def func1(arg1, arg2, arg3):
    '\n        \n        '
    for (var1, var2) in enumerate(self.indexes):
        var4 = self.uppers[var1]
        if (var4 is None):
            continue
        (var5, var6) = self._get_optimal_param(var4, arg3)
        for var7 in index[r]._query_b(arg2, var5):
            (yield var7)
",Giving the MinHash and size of the query set retrieve keys that references sets with containment with respect to the query set greater than the threshold .,\ n \ n,Returns an iterator over the keys that match the given hash .,0,Prediction2,
"def remove_subscriber(self, ws):
        
        if ws in self.subscribers:
            self.subscribers.remove(ws)

        for name in self.available_events:
            self.remove_event_subscriber(name, ws)","

def func1(arg1, arg2):
    if (arg2 in self.subscribers):
        self.subscribers.remove(arg2)
    for var1 in self.available_events:
        self.remove_event_subscriber(var1, arg2)
",Remove a websocket subscriber .,Remove a subscriber .,Remove a subscriber from the list of subscribers .,1,Tie,
"def _create_msg(self, to, subject, msgHtml, msgPlain, attachments=None):
        '''
        
        '''
        sender = self.sender
        if attachments and isinstance(attachments, str):
            attachments = [attachments]
        else:
            attachments = list(attachments or [])

        msg = MIMEMultipart('alternative')
        msg['Subject'] = subject
        msg['From'] = sender
        msg['To'] = to
        msg.attach(MIMEText(msgPlain, 'plain'))
        msg.attach(MIMEText(msgHtml, 'html'))

        # append attachments if any
        for path in attachments:
            _attachment = self._prep_attachment(path)
            msg.attach(_attachment)

        raw = base64.urlsafe_b64encode(msg.as_bytes()).decode()
        #raw = raw.decode()
        body = {'raw': raw}
        return body","

def func1(arg1, arg2, arg3, arg4, arg5, arg6=None):
    '\n        \n        '
    var1 = self.sender
    if (arg6 and isinstance(arg6, var3)):
        arg6 = [arg6]
    else:
        arg6 = list((arg6 or []))
    var5 = MIMEMultipart('alternative')
    var5['Subject'] = arg3
    var5['From'] = var1
    var5['To'] = arg2
    msg.attach(MIMEText(arg5, 'plain'))
    msg.attach(MIMEText(arg4, 'html'))
    for var8 in arg6:
        var9 = self._prep_attachment(var8)
        msg.attach(var9)
    var10 = base64.urlsafe_b64encode(msg.as_bytes()).decode()
    var11 = {'raw': var10}
    return var11
",attachments should be a list of paths,\ n \ n,Create an email message .,0,Prediction2,
"def constant(name, value):
  
  if not config_parser.MODULE_RE.match(name):
    raise ValueError(""Invalid constant selector '{}'."".format(name))

  if _CONSTANTS.matching_selectors(name):
    err_str = ""Constants matching selector '{}' already exist ({}).""
    raise ValueError(err_str.format(name, _CONSTANTS.matching_selectors(name)))

  _CONSTANTS[name] = value","

def func1(arg1, arg2):
    if (not config_parser.MODULE_RE.match(arg1)):
        raise ValueError(""Invalid constant selector '{}'."".format(arg1))
    if _CONSTANTS.matching_selectors(arg1):
        var2 = ""Constants matching selector '{}' already exist ({}).""
        raise ValueError(err_str.format(arg1, _CONSTANTS.matching_selectors(arg1)))
    var3[arg1] = arg2
",Creates a constant that can be referenced from gin config files .,Set the value of arg1 to arg2 .,Register a new constant .,0,Prediction2,
"def poke(self, context):
        
        if '.' in self.table_name:
            self.database_name, self.table_name = self.table_name.split('.')
        self.log.info(
            'Poking for table %s. %s, expression %s', self.database_name, self.table_name, self.expression
        )

        return self.get_hook().check_for_partition(
            self.database_name, self.table_name, self.expression)","

def func1(arg1, arg2):
    if ('.' in self.table_name):
        (self.database_name, self.table_name) = self.table_name.split('.')
    self.log.info('Poking for table %s. %s, expression %s', self.database_name, self.table_name, self.expression)
    return self.get_hook().check_for_partition(self.database_name, self.table_name, self.expression)
",Checks for existence of the partition in the AWS Glue Catalog table,Poking for a partition .,Pokes for a partition in the database .,0,Prediction2,
"def get_out_file(self, ending='rst'):
        
        return os.path.splitext(self.outfile)[0] + os.path.extsep + ending","

def func1(arg1, arg2='rst'):
    return ((os.path.splitext(self.outfile)[0] + os.path.extsep) + arg2)
",get the output file with the specified ending,Return the name of the output file .,Return the path to the first RST file .,1,Tie,
"def get_url_rev(self):
        
        if '://' not in self.url:
            assert 'file:' not in self.url
            self.url = self.url.replace('git+', 'git+ssh://')
            url, rev = super(Git, self).get_url_rev()
            url = url.replace('ssh://', '')
        else:
            url, rev = super(Git, self).get_url_rev()

        return url, rev","

def func1(arg1):
    if ('://' not in self.url):
        assert ('file:' not in self.url)
        self.url = self.url.replace('git+', 'git+ssh://')
        (var1, var2) = super(Git, self).get_url_rev()
        var1 = url.replace('ssh://', '')
    else:
        (var1, var2) = super(Git, self).get_url_rev()
    return (var1, var2)
",Prefixes stub URLs like user,Remove git + ssh + from the url .,replace git + with git + ssh://,1,Tie,
"def measure_topology(fbasename=None, log=None, ml_version=ml_version):
    
    ml_script1_file = 'TEMP3D_measure_topology.mlx'
    ml_script1 = mlx.FilterScript(file_in=fbasename, ml_version=ml_version)
    compute.measure_topology(ml_script1)
    ml_script1.save_to_file(ml_script1_file)
    ml_script1.run_script(log=log, script_file=ml_script1_file)
    topology = ml_script1.topology
    return topology","

def func1(arg1=None, arg2=None, arg3=arg3):
    var1 = 'TEMP3D_measure_topology.mlx'
    var2 = mlx.FilterScript(file_in=arg1, ml_version=arg3)
    compute.measure_topology(var2)
    ml_script1.save_to_file(var1)
    ml_script1.run_script(log=arg2, script_file=var1)
    var3 = ml_script1.topology
    return var3
",Measures mesh topology,Function 1 to compute the measure topology .,Measure the topology of a 3D file .,0,Tie,
"def plot_waterfall(self, f_start=None, f_stop=None, if_id=0, logged=True, cb=True, MJD_time=False, **kwargs):
        

        plot_f, plot_data = self.grab_data(f_start, f_stop, if_id)

        #Using accending frequency for all plots.
        if self.header[b'foff'] < 0:
            plot_data = plot_data[..., ::-1] # Reverse data
            plot_f = plot_f[::-1]

        if logged:
            plot_data = db(plot_data)

        # Make sure waterfall plot is under 4k*4k
        dec_fac_x, dec_fac_y = 1, 1
        if plot_data.shape[0] > MAX_IMSHOW_POINTS[0]:
            dec_fac_x = int(plot_data.shape[0] / MAX_IMSHOW_POINTS[0])

        if plot_data.shape[1] > MAX_IMSHOW_POINTS[1]:
            dec_fac_y =  int(plot_data.shape[1] /  MAX_IMSHOW_POINTS[1])

        plot_data = rebin(plot_data, dec_fac_x, dec_fac_y)

        try:
            plt.title(self.header[b'source_name'])
        except KeyError:
            plt.title(self.filename)

        extent = self._calc_extent(plot_f=plot_f,plot_t=self.timestamps,MJD_time=MJD_time)

        plt.imshow(plot_data,
            aspect='auto',
            origin='lower',
            rasterized=True,
            interpolation='nearest',
            extent=extent,
            cmap='viridis',
            **kwargs
        )
        if cb:
            plt.colorbar()
        plt.xlabel(""Frequency [MHz]"")
        if MJD_time:
            plt.ylabel(""Time [MJD]"")
        else:
            plt.ylabel(""Time [s]"")","

def func1(arg1, arg2=None, arg3=None, arg4=0, arg5=True, arg6=True, arg7=False, **arg8):
    (var1, var2) = self.grab_data(arg2, arg3, arg4)
    if (self.header[b'foff'] < 0):
        var2 = var2[..., ::(- 1)]
        var1 = var1[::(- 1)]
    if arg5:
        var2 = db(var2)
    (var4, var5) = (1, 1)
    if (plot_data.shape[0] > var6[0]):
        var4 = int((plot_data.shape[0] / var6[0]))
    if (plot_data.shape[1] > var6[1]):
        var5 = int((plot_data.shape[1] / var6[1]))
    var2 = rebin(var2, var4, var5)
    try:
        plt.title(self.header[b'source_name'])
    except KeyError:
        plt.title(self.filename)
    var10 = self._calc_extent(plot_f=var1, plot_t=self.timestamps, MJD_time=arg7)
    plt.imshow(var2, aspect='auto', origin='lower', rasterized=True, interpolation='nearest', extent=var10, cmap='viridis', **arg8)
    if arg6:
        plt.colorbar()
    plt.xlabel('Frequency [MHz]')
    if arg7:
        plt.ylabel('Time [MJD]')
    else:
        plt.ylabel('Time [s]')
",Plot waterfall of data,Plot a waterfall .,Function 1 of the plot .,1,Prediction1,
"def _build(self, model):
    
    if not _is_dict_like(model):
      raise TypeError('`model` must be convertible to `dict` (saw: {}).'.format(
          type(model).__name__))
    [
        self._dist_fn,
        self._dist_fn_wrapped,
        self._dist_fn_args,
        self._dist_fn_name,  # JointDistributionSequential doesn't have this.
    ] = _prob_chain_rule_flatten(model)","

def func1(arg1, arg2):
    if (not _is_dict_like(arg2)):
        raise TypeError('`model` must be convertible to `dict` (saw: {}).'.format(type(model).__name__))
    [self._dist_fn, self._dist_fn_wrapped, self._dist_fn_args, self._dist_fn_name] = _prob_chain_rule_flatten(arg2)
",Creates dist_fn dist_fn_wrapped dist_fn_args dist_fn_name .,Build the distribution function .,Wrapper for _prob_chain_rule_flatten .,1,Prediction2,
"def demo(funcname, interactive=True, echo=True, test=False):
    
    import h2o.demos as h2odemo
    assert_is_type(funcname, str)
    assert_is_type(interactive, bool)
    assert_is_type(echo, bool)
    assert_is_type(test, bool)

    demo_function = getattr(h2odemo, funcname, None)
    if demo_function and type(demo_function) is type(demo):
        demo_function(interactive, echo, test)
    else:
        print(""Demo for %s is not available."" % funcname)","

def var8(arg1, arg2=True, arg3=True, arg4=False):
    import h2o.demos as h2odemo
    assert_is_type(arg1, var2)
    assert_is_type(arg2, var3)
    assert_is_type(arg3, var3)
    assert_is_type(arg4, var3)
    var4 = getattr(var6, arg1, None)
    if (var4 and (type(var4) is type(var8))):
        demo_function(arg2, arg3, arg4)
    else:
        print(('Demo for %s is not available.' % arg1))
",H2O built - in demo facility .,Run a demo function .,Demo function .,1,Tie,
"def filter_by_label(X, y, ref_label, reverse=False):
    '''
    
    '''
    check_reference_label(y, ref_label)

    return list(zip(*filter(lambda t: (not reverse) == (t[1] == ref_label),
                            zip(X, y))))","

def func1(arg1, arg2, arg3, arg4=False):
    '\n    \n    '
    check_reference_label(arg2, arg3)
    return list(zip(*filter((lambda arg5: ((not arg4) == (arg5[1] == arg3))), zip(arg1, arg2))))
",Select items with label from dataset .,\ n \ n,Filter X and y by label .,0,Prediction2,
"def symmetric_difference_update(self, oset: Scope) -> Scope:
        
        skey = set()
        keys = list(self._hsig.keys())
        for k in keys:
            if k in oset:
                skey.add(k)
        for k in oset._hsig.keys():
            if k not in skey:
                self._hsig[k] = oset.get(k)
        for k in skey:
            del self._hsig[k]
        return self","

def func1(arg1, arg2: Scope) -> var6:
    var1 = set()
    var3 = list(self._hsig.keys())
    for var5 in var3:
        if (var5 in arg2):
            skey.add(var5)
    for var5 in oset._hsig.keys():
        if (var5 not in var1):
            self._hsig[var5] = oset.get(var5)
    for var5 in var1:
        del self._hsig[var5]
    return arg1
",Remove common values and Update specific values from another Set,Update self with the symmetric difference of oset .,Change the scope of arg1 to arg2 .,1,Prediction1,
"def str_lower(x):
    
    sl = _to_string_sequence(x).lower()
    return column.ColumnStringArrow(sl.bytes, sl.indices, sl.length, sl.offset, string_sequence=sl)","

def func1(arg1):
    var1 = _to_string_sequence(x).lower()
    return column.ColumnStringArrow(sl.bytes, sl.indices, sl.length, sl.offset, string_sequence=var1)
",Converts string samples to lower case .,Convert arg1 to a column string arrow .,Convert a string sequence to a string arrow .,0,Prediction2,
"def _execute(self, source, hidden):
        
        msg_id = self.kernel_manager.shell_channel.execute(source, hidden)
        self._request_info['execute'][msg_id] = self._ExecutionRequest(msg_id, 'user')
        self._hidden = hidden
        if not hidden:
            self.executing.emit(source)","

def func1(arg1, arg2, arg3):
    var1 = self.kernel_manager.shell_channel.execute(arg2, arg3)
    self._request_info['execute'][var1] = self._ExecutionRequest(var1, 'user')
    self._hidden = arg3
    if (not arg3):
        self.executing.emit(arg2)
",Execute source . If hidden do not show any output .,Execute a shell command .,Called when a command is executed .,1,Prediction1,
"def choi_to_rauli(choi, order=1):
    
    if order == 0:
        order = 'weight'
    elif order == 1:
        order = 'tensor'

    # get number of qubits'
    num_qubits = int(np.log2(np.sqrt(len(choi))))
    pgp = pauli_group(num_qubits, case=order)
    rauli = []
    for i in pgp:
        for j in pgp:
            pauliop = np.kron(j.to_matrix().T, i.to_matrix())
            rauli += [np.trace(np.dot(choi, pauliop))]
    return np.array(rauli).reshape(4 ** num_qubits, 4 ** num_qubits)","

def func1(arg1, arg2=1):
    if (arg2 == 0):
        arg2 = 'weight'
    elif (arg2 == 1):
        arg2 = 'tensor'
    var1 = int(np.log2(np.sqrt(len(arg1))))
    var4 = pauli_group(var1, case=arg2)
    var6 = []
    for var7 in var4:
        for var8 in var4:
            var9 = np.kron(j.to_matrix().T, i.to_matrix())
            var6 += [np.trace(np.dot(arg1, var9))]
    return np.array(rauli).reshape((4 ** var1), (4 ** var1))
",Convert a Choi - matrix to a Pauli - basis superoperator .,Convert a 2D matrix to a 4x4 matrix .,func1 is a wrapper for pauli_group,1,Prediction2,
"def build_input_pipeline(x, y, batch_size):
  
  training_dataset = tf.data.Dataset.from_tensor_slices((x, y))
  training_batches = training_dataset.repeat().batch(batch_size)
  training_iterator = tf.compat.v1.data.make_one_shot_iterator(training_batches)
  batch_features, batch_labels = training_iterator.get_next()
  return batch_features, batch_labels","

def func1(arg1, arg2, arg3):
    var1 = tf.data.Dataset.from_tensor_slices((arg1, arg2))
    var2 = training_dataset.repeat().batch(arg3)
    var3 = tf.compat.v1.data.make_one_shot_iterator(var2)
    (var4, var5) = training_iterator.get_next()
    return (var4, var5)
",Build a Dataset iterator for supervised classification .,Build input pipeline .,One - shot version of func1 .,1,Prediction1,
"def load_config_file(self, filename, path=None):
        
        loader = PyFileConfigLoader(filename, path=path)
        try:
            config = loader.load_config()
        except ConfigFileNotFound:
            # problem finding the file, raise
            raise
        except Exception:
            # try to get the full filename, but it will be empty in the
            # unlikely event that the error raised before filefind finished
            filename = loader.full_filename or filename
            # problem while running the file
            self.log.error(""Exception while loading config file %s"",
                            filename, exc_info=True)
        else:
            self.log.debug(""Loaded config file: %s"", loader.full_filename)
            self.update_config(config)","

def func1(arg1, arg2, arg3=None):
    var1 = PyFileConfigLoader(arg2, path=arg3)
    try:
        var3 = loader.load_config()
    except ConfigFileNotFound:
        raise
    except Exception:
        arg2 = (loader.full_filename or arg2)
        self.log.error('Exception while loading config file %s', arg2, exc_info=True)
    else:
        self.log.debug('Loaded config file: %s', loader.full_filename)
        self.update_config(var3)
",Load a . py based config file by filename and path .,Load a config file .,Load config from a file .,0,Tie,
"def register(name: str = None) -> type:
    
    def decorate(model_cls: type, reg_name: str = None) -> type:
        model_name = reg_name or short_name(model_cls)
        global _REGISTRY
        cls_name = model_cls.__module__ + ':' + model_cls.__name__
        if model_name in _REGISTRY and _REGISTRY[model_name] != cls_name:
            logger.warning('Registry name ""{}"" has been already registered and will be overwritten.'.format(model_name))
        _REGISTRY[model_name] = cls_name
        return model_cls

    return lambda model_cls_name: decorate(model_cls_name, name)","

def func2(arg1: str=None) -> var5:

    def func1(arg2: type, arg3: str=None) -> var5:
        var1 = (arg3 or short_name(arg2))
        global _REGISTRY
        var3 = ((model_cls.__module__ + ':') + model_cls.__name__)
        if ((var1 in var4) and (var4[var1] != var3)):
            logger.warning('Registry name ""{}"" has been already registered and will be overwritten.'.format(var1))
        var4[var1] = var3
        return arg2
    return (lambda arg4: decorate(arg4, arg1))
",Register classes that could be initialized from JSON configuration file . If name is not passed the class name is converted to snake - case .,Register a model class with the registry .,Decorate a function to register a registry name .,1,Tie,
"def _register_engine(self, uid):
        
        # head of the line:
        self.targets.insert(0,uid)
        self.loads.insert(0,0)

        # initialize sets
        self.completed[uid] = set()
        self.failed[uid] = set()
        self.pending[uid] = {}

        # rescan the graph:
        self.update_graph(None)","

def func1(arg1, arg2):
    self.targets.insert(0, arg2)
    self.loads.insert(0, 0)
    self.completed[arg2] = set()
    self.failed[arg2] = set()
    self.pending[arg2] = {}
    self.update_graph(None)
",New engine with ident uid became available .,This function is called when a new target is added to the graph .,Register a new engine .,0,Prediction2,
"def validated_user(cls, token, purpose, minutes_valid):
        
        try:
            username, auth_hash = loads(token.decode('base64'))
        except (ValueError, Error):
            cls.auth_failed(token=token)
        try:
            user = cls.user_model.objects.get(**{
                cls.user_model.USERNAME_FIELD: username,
                'is_active': True,
            })
            user.backend = 'django.contrib.auth.backends.ModelBackend'
        except cls.user_model.DoesNotExist:
            cls.auth_failed(username=username, token=token)
        if auth_hash not in iter_auth_hashes(user, purpose, minutes_valid):
            cls.auth_failed(username=username, token=token)
        return user","

def func1(arg1, arg2, arg3, arg4):
    try:
        (var1, var2) = loads(token.decode('base64'))
    except (var4, var5):
        cls.auth_failed(token=arg2)
    try:
        var6 = cls.user_model.objects.get(**{cls.user_model.USERNAME_FIELD: var1, 'is_active': True})
        user.backend = 'django.contrib.auth.backends.ModelBackend'
    except cls.user_model.DoesNotExist:
        cls.auth_failed(username=var1, token=arg2)
    if (var2 not in iter_auth_hashes(var6, arg3, arg4)):
        cls.auth_failed(username=var1, token=arg2)
    return var6
",Resolve and validate auth token returns user object .,Validate a token and return a User instance .,Authenticates a token .,1,Prediction1,
"def _find_indent(self, line):
        
        indent_spaces = self.indent_spaces
        full_dedent = self._full_dedent
        
        inisp = num_ini_spaces(line)
        if inisp < indent_spaces:
            indent_spaces = inisp
            if indent_spaces <= 0:
                #print 'Full dedent in text',self.source # dbg
                full_dedent = True

        if line.rstrip()[-1] == ':':
            indent_spaces += 4
        elif dedent_re.match(line):
            indent_spaces -= 4
            if indent_spaces <= 0:
                full_dedent = True

        # Safety
        if indent_spaces < 0:
            indent_spaces = 0
            #print 'safety' # dbg
            
        return indent_spaces, full_dedent","

def func1(arg1, arg2):
    var1 = self.indent_spaces
    var2 = self._full_dedent
    var3 = num_ini_spaces(arg2)
    if (var3 < var1):
        var1 = var3
        if (var1 <= 0):
            var2 = True
    if (line.rstrip()[(- 1)] == ':'):
        var1 += 4
    elif dedent_re.match(arg2):
        var1 -= 4
        if (var1 <= 0):
            var2 = True
    if (var1 < 0):
        var1 = 0
    return (var1, var2)
",Compute the new indentation level for a single line .,Return the number of spaces and whether the line should be indented .,Decide whether to use indent_spaces and _full_dedent .,1,Prediction1,
"def eval_file(filename: str, ctx: compiler.CompilerContext, module: types.ModuleType):
    
    last = None
    for form in reader.read_file(filename, resolver=runtime.resolve_alias):
        last = compiler.compile_and_exec_form(form, ctx, module)
    return last","

def func1(arg1: str, arg2: compiler.CompilerContext, arg3: types.ModuleType):
    var1 = None
    for var2 in reader.read_file(arg1, resolver=runtime.resolve_alias):
        var1 = compiler.compile_and_exec_form(var2, arg2, arg3)
    return var1
",Evaluate a file with the given name into a Python module AST node .,Evaluate the given file and return the result .,Compile and execute form for arg1 .,1,Prediction1,
"def open_log_file(self):
        
        """"""
        TO DO.
        """"""
        # webbrowser.open('https://marrabld.github.io/planarradpy/')
        f = open(os.path.expanduser('~/.planarradpy/log/libplanarradpy.log'))
        # self.uiLog.textEdit.setText(str(f.readlines()))
        self.uiLog.textEdit.setPlainText(str(f.read()))
        self.log_window.show()","

def func1(arg1):
    '\n        TO DO.\n        '
    var1 = open(os.path.expanduser('~/.planarradpy/log/libplanarradpy.log'))
    self.uiLog.textEdit.setPlainText(str(f.read()))
    self.log_window.show()
",The following opens the log file of PlanarRad .,Opens the log file .,TO DO \ n,1,Prediction1,
"def _m(self):
        
        assert not hasattr(self, ""_interfaces"") or not self._interfaces, \
            ""Too late to change direction of interface""
        self._direction = DIRECTION.asIntfDirection(DIRECTION.opposite(self._masterDir))

        return self","

def func1(arg1):
    assert ((not hasattr(arg1, '_interfaces')) or (not self._interfaces)), 'Too late to change direction of interface'
    self._direction = DIRECTION.asIntfDirection(DIRECTION.opposite(self._masterDir))
    return arg1
",Note that this interface will be master,Change the direction of an interface .,Change the direction of the interface,0,Tie,
