Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label
"function openPopupWithPost(url, postData, name, options) {
    var form = document.createElement(""form"");
    var win;

    form.setAttribute(""method"", ""post"");
    form.setAttribute(""action"", url);
    form.setAttribute(""target"", name);

    Object.keys(postData).forEach(function addFormItem(key) {
        var input = document.createElement(""input"");
        input.type = ""hidden"";
        input.name = key;
        input.value = postData[key];
        form.appendChild(input);
    });

    document.body.appendChild(form);

    win = window.open(""/"", name, options);
    win.document.write(""Loading..."");

    form.submit();
    document.body.removeChild(form);

    return win;
}","function func0(variable0, variable1, variable2, variable3) {
    var variable4 = document.createElement('form');
    var variable5;
    variable4.setAttribute('method', 'post');
    variable4.setAttribute('action', variable0);
    variable4.setAttribute('target', variable2);
    Object.keys(variable1).forEach(function addFormItem(key) {
        var input = document.createElement('input');
        input.type = 'hidden';
        input.variable2 = key;
        input.value = variable1[key];
        variable4.appendChild(input);
    });
    document.body.appendChild(variable4);
    variable5 = window.open('/', variable2, variable3);
    variable5.document.write('Loading...');
    variable4.submit();
    document.body.removeChild(variable4);
    return variable5;
}",Create a form element add hidden inputs for all the post data and post it into a newly opened popup,Creates a form and opens it .,Create a form element and submit it,1,Prediction2
"function executeMigrationListeners(databaseName, oldVersion, newVersion,
    completionPromise) {
  for (let listener of migrationListeners) {
    try {
      listener(databaseName, oldVersion, newVersion, completionPromise)
    } catch (e) {
      console.warn(""A schema migration event listener threw an error"", e);
    }
  }
}","function func0(variable0, variable1, variable2, variable3) {
    for (let listener of migrationListeners) {
        try {
            listener(variable0, variable1, variable2, variable3);
        } catch (e) {
            console.warn('A schema migration event listener threw an error', e);
        }
    }
}",Executes the currently registered database schema migration listeners with the provided arguments .,Calls all migration listeners for a schema migration event .,Call all migration listeners,1,Prediction1
"async function indexExists(index) {
  try {
    const { nbHits } = await index.search();
    return nbHits > 0;
  } catch (e) {
    return false;
  }
}","async function func0(variable0) {
    try {
        const {nbHits} = await variable0.search();
        return nbHits > 0;
    } catch (e) {
        return false;
    }
}",Does an Algolia index exist already,Returns true if variable0 has hits,Checks if a document has a number of hits .,0,Prediction2
"function register ( type, lang, handler ) {
    if (Array.isArray(lang)) {
        lang.forEach((v) => store[type].langs[v] = handler);
        return;
    }
    store[type].langs[lang] = handler;
}","function func0(variable0, variable1, variable2) {
    if (Array.isArray(variable1)) {
        variable1.forEach(v => store[variable0].langs[v] = variable2);
        return;
    }
    store[variable0].langs[variable1] = variable2;
}",Register Loader of different Language,Adds a language to the store .,set variable0 to variable1 with variable2,1,Prediction1
"function stringify(content) {
  if (typeof content === 'string' && stringifiedRegexp.test(content)) {
    return content;
  }
  return JSON.stringify(content, null, 2);
}","function func0(variable0) {
    if (typeof variable0 === 'string' && stringifiedRegexp.test(variable0)) {
        return variable0;
    }
    return JSON.func0(variable0, null, 2);
}",If already stringified - return original content,If variable0 is a string return it .,Converts the given value to a string .,0,Prediction2
"function round_to_precision(num, precision, supress_thou_sep) {
	//zero should always be ""0""
	if (num === 0) return ""0"";

	var s = Math.round(num * Math.pow(10,precision)) / Math.pow(10,precision);
	s = s + """";

	s = s.split(""."");

	if (s.length == 1) {
		s[1] = """";
	}

	if (s[1].length < precision) {
		s[1] += Array(precision-s[1].length + 1).join(""0"");
	}

	if (!supress_thou_sep) {
		s[0] = d3.format("","")(parseInt(s[0]));
	}

	if (precision === 0) {
		return s[0];
	}

	return s.join(""."");
}","function func0(variable0, variable1, variable2) {
    if (variable0 === 0)
        return '0';
    var variable3 = Math.round(variable0 * Math.pow(10, variable1)) / Math.pow(10, variable1);
    variable3 = variable3 + '';
    variable3 = variable3.split('.');
    if (variable3.length == 1) {
        variable3[1] = '';
    }
    if (variable3[1].length < variable1) {
        variable3[1] += Array(variable1 - variable3[1].length + 1).join('0');
    }
    if (!variable2) {
        variable3[0] = d3.format(',')(parseInt(variable3[0]));
    }
    if (variable1 === 0) {
        return variable3[0];
    }
    return variable3.join('.');
}",round_to_precision Round a number to N decimal places,function 0 - > string,Convert a number to a string .,0,Prediction2
"function getSystemBucket(config) {
  let bucket = get(config, 'buckets.internal');
  if (bucket && typeof bucket === 'string') {
    return bucket;
  }

  bucket = get(config, 'system_bucket');
  if (bucket && typeof bucket === 'string') {
    return bucket;
  }
  return undefined;
}","function func0(variable0) {
    let variable1 = get(variable0, 'buckets.internal');
    if (variable1 && typeof variable1 === 'string') {
        return variable1;
    }
    variable1 = get(variable0, 'system_bucket');
    if (variable1 && typeof variable1 === 'string') {
        return variable1;
    }
    return undefined;
}",Discover and returns the system bucket used for deployment,Get bucket name from variable0,Get the bucket name from the config object .,0,Prediction2
"function getPlatformDetailsFromDir (dir, platformIfKnown) {
    var libDir = path.resolve(dir);
    var platform;
    var version;

    // console.log(""getPlatformDetailsFromDir : "", dir, platformIfKnown, libDir);

    try {
        var pkgPath = path.join(libDir, 'package.json');
        var pkg = cordova_util.requireNoCache(pkgPath);
        platform = module.exports.platformFromName(pkg.name);
        version = pkg.version;
    } catch (e) {
        return Promise.reject(new CordovaError('The provided path does not seem to contain a valid package.json or a valid Cordova platform: ' + libDir));
    }

    // platform does NOT have to exist in 'platforms', but it should have a name, and a version
    if (!version || !platform) {
        return Promise.reject(new CordovaError('The provided path does not seem to contain a ' +
            'Cordova platform: ' + libDir));
    }

    return Promise.resolve({
        libDir: libDir,
        platform: platform,
        version: version
    });
}","function func0(variable0, variable1) {
    var variable2 = path.resolve(variable0);
    var variable3;
    var variable4;
    try {
        var pkgPath = path.join(variable2, 'package.json');
        var pkg = cordova_util.requireNoCache(pkgPath);
        variable3 = module.exports.platformFromName(pkg.name);
        variable4 = pkg.variable4;
    } catch (e) {
        return Promise.reject(new CordovaError('The provided path does not seem to contain a valid package.json or a valid Cordova platform: ' + variable2));
    }
    if (!variable4 || !variable3) {
        return Promise.reject(new CordovaError('The provided path does not seem to contain a ' + 'Cordova platform: ' + variable2));
    }
    return Promise.resolve({
        variable2: variable2,
        variable3: variable3,
        variable4: variable4
    });
}",Gets platform details from a directory,Get the Cordova platform from the provided path .,Returns a promise that resolves to a Cordova platform object .,1,Prediction1
"function isIdentifierName(node) {
        var parent = node.parent;
        switch (parent.kind) {
            case 141 /* PropertyDeclaration */:
            case 140 /* PropertySignature */:
            case 143 /* MethodDeclaration */:
            case 142 /* MethodSignature */:
            case 145 /* GetAccessor */:
            case 146 /* SetAccessor */:
            case 247 /* EnumMember */:
            case 245 /* PropertyAssignment */:
            case 166 /* PropertyAccessExpression */:
                // Name in member declaration or property name in property access
                return parent.name === node;
            case 135 /* QualifiedName */:
                // Name on right hand side of dot in a type query
                if (parent.right === node) {
                    while (parent.kind === 135 /* QualifiedName */) {
                        parent = parent.parent;
                    }
                    return parent.kind === 154 /* TypeQuery */;
                }
                return false;
            case 163 /* BindingElement */:
            case 226 /* ImportSpecifier */:
                // Property name in binding element or import specifier
                return parent.propertyName === node;
            case 230 /* ExportSpecifier */:
                // Any name in an export specifier
                return true;
        }
        return false;
    }","function func0(variable0) {
    var variable1 = variable0.variable1;
    switch (variable1.kind) {
    case 141:
    case 140:
    case 143:
    case 142:
    case 145:
    case 146:
    case 247:
    case 245:
    case 166:
        return variable1.name === variable0;
    case 135:
        if (variable1.right === variable0) {
            while (variable1.kind === 135) {
                variable1 = variable1.variable1;
            }
            return variable1.kind === 154;
        }
        return false;
    case 163:
    case 226:
        return variable1.propertyName === variable0;
    case 230:
        return true;
    }
    return false;
}",Return true if the given identifier is classified as an IdentifierName,Checks if a node is a property or not .,Returns true if variable0 is a function,1,Prediction1
"function warning (message) {
  console.error()
  message.split('\n').forEach(function (line) {
    console.error('  warning: %s', line)
  })
  console.error()
}","function func0(variable0) {
    console.error();
    variable0.split('\n').forEach(function (line) {
        console.error('  warning: %s', line);
    });
    console.error();
}",Display a warning similar to how errors are displayed by commander .,function 0 - > console . error,Prints a warning message .,0,Prediction2
"function RangeParam(name, shortName, process) {
      if (process == null) {
        process = this.norm_range_value;
      }
      RangeParam.__super__.constructor.call(this, name, shortName, process);
    }","function func0(variable0, variable1, variable2) {
    if (variable2 == null) {
        variable2 = this.norm_range_value;
    }
    func0.__super__.function Object() { [native code] }.call(this, variable0, variable1, variable2);
}",A parameter that represents a range,Object constructor .,Object constructor .,0,Tie
"function replaceNode (value, previousValue, i) {
    var activeNode = activeNodes[i]
    var currentNode = node
    var returnValue

    // Cast values to null if undefined.
    if (value === void 0) value = null
    if (previousValue === void 0) previousValue = null

    // If value is null, just remove the Node.
    if (value === null) {
      removeNode(null, previousValue, i)
      return null
    }

    if (valueIsArray) keyPath.index = i
    else delete keyPath.index

    previousValues[i] = value

    if (definition) {
      if (activeNode) removeNode(value, previousValue, i)
      currentNode = processNodes(scope, node, definition)
      keyPath.target = valueIsArray ? value[i] : value
      bindKeys(scope, value, definition, currentNode, keyPath)
      if (mount) {
        keyPath.target = value
        mount(currentNode, value, null, keyPath)
      }
    }

    else {
      currentNode = activeNode || node.cloneNode(true)

      if (change) {
        returnValue = change(currentNode, value, previousValue, keyPath)
        if (returnValue !== void 0)
          changeValue(currentNode, returnValue, branch[replaceAttributeKey])
      }
      else {
        // Add default update behavior. Note that this event does not get
        // removed, since it is assumed that it will be garbage collected.
        if (previousValue === null &&
          ~updateTags.indexOf(currentNode.tagName))
          currentNode.addEventListener('input',
            updateChange(branch[replaceAttributeKey], keyPath, key))

        changeValue(currentNode, value, branch[replaceAttributeKey])
      }

      // Do not actually add an element to the DOM if it's only a change
      // between non-empty values.
      if (activeNode) return null
    }

    activeNodes[i] = currentNode

    return currentNode
  }","function func0(variable0, variable1, variable2) {
    var variable3 = activeNodes[variable2];
    var variable4 = node;
    var variable5;
    if (variable0 === void 0)
        variable0 = null;
    if (variable1 === void 0)
        variable1 = null;
    if (variable0 === null) {
        removeNode(null, variable1, variable2);
        return null;
    }
    if (valueIsArray)
        keyPath.index = variable2;
    else
        delete keyPath.index;
    previousValues[variable2] = variable0;
    if (definition) {
        if (variable3)
            removeNode(variable0, variable1, variable2);
        variable4 = processNodes(scope, node, definition);
        keyPath.target = valueIsArray ? variable0[variable2] : variable0;
        bindKeys(scope, variable0, definition, variable4, keyPath);
        if (mount) {
            keyPath.target = variable0;
            mount(variable4, variable0, null, keyPath);
        }
    } else {
        variable4 = variable3 || node.cloneNode(true);
        if (change) {
            variable5 = change(variable4, variable0, variable1, keyPath);
            if (variable5 !== void 0)
                changeValue(variable4, variable5, branch[replaceAttributeKey]);
        } else {
            if (variable1 === null && ~updateTags.indexOf(variable4.tagName))
                variable4.addEventListener('input', updateChange(branch[replaceAttributeKey], keyPath, key));
            changeValue(variable4, variable0, branch[replaceAttributeKey]);
        }
        if (variable3)
            return null;
    }
    activeNodes[variable2] = variable4;
    return variable4;
}",The return value of this function is a Node to be added otherwise null .,Update the value of the node at the given index .,This is the function that is called when a variable is inserted into the DOM . It is called when a variable is inserted .,1,Prediction1
"function restartBlink(cm) {
    var display = cm.display;
    clearInterval(display.blinker);
    var on = true;
    display.cursor.style.visibility = display.otherCursor.style.visibility = """";
    display.blinker = setInterval(function() {
      if (!display.cursor.offsetHeight) return;
      display.cursor.style.visibility = display.otherCursor.style.visibility = (on = !on) ? """" : ""hidden"";
    }, cm.options.cursorBlinkRate);
  }","function func0(variable0) {
    var variable1 = variable0.variable1;
    clearInterval(variable1.blinker);
    var variable2 = true;
    variable1.cursor.style.visibility = variable1.otherCursor.style.visibility = '';
    variable1.blinker = setInterval(function () {
        if (!variable1.cursor.offsetHeight)
            return;
        variable1.cursor.style.visibility = variable1.otherCursor.style.visibility = (variable2 = !variable2) ? '' : 'hidden';
    }, variable0.options.cursorBlinkRate);
}",Cursor - blinking,Sets the cursor visibility to hidden .,Function that sets the visibility of the cursor .,1,Prediction2
"function getReferencedImportDeclaration(node) {
            var symbol = getReferencedValueSymbol(node);
            return symbol && symbol.flags & 8388608 /* Alias */ ? getDeclarationOfAliasSymbol(symbol) : undefined;
        }","function func0(variable0) {
    var variable1 = getReferencedValueSymbol(variable0);
    return variable1 && variable1.flags & 8388608 ? getDeclarationOfAliasSymbol(variable1) : undefined;
}",When resolved as an expression identifier if the given node references an import return the declaration of that import . Otherwise return undefined .,Gets the declaration of the value of an alias .,Returns the declaration of the first alias of variable0 .,1,Prediction1
"function prepareQuery(thisStorage, filter, order) {
  order = normalizeKeyPath(order)
  
  let expectedSortingDirection = order[0].charAt(0) === ""!""
  let canSortingBeOptimized
  canSortingBeOptimized = canOptimizeSorting(expectedSortingDirection, order)
  
  let storages = new Map()
  storages.set(normalizeKeyPath(thisStorage.keyPath), {
    storage: thisStorage,
    score: 1 // traversing storage is faster than fetching records by index
  })
  
  for (let indexName of thisStorage.indexNames) {
    let index = thisStorage.getIndex(indexName)
    if (!index.multiEntry) {
      storages.set(normalizeKeyPath(index.keyPath), {
        storage: index,
        score: 0
      })
    }
  }
  
  let simplifiedOrderFieldPaths = simplifyOrderingFieldPaths(order)
  
  if (canSortingBeOptimized) {
    prepareSortingOptimization(storages, simplifiedOrderFieldPaths)
  }

  prepareFilteringOptimization(storages, filter)
  
  return chooseStorageForQuery(
    storages,
    order,
    simplifiedOrderFieldPaths,
    canSortingBeOptimized,
    expectedSortingDirection
  )
}","function func0(variable0, variable1, variable2) {
    variable2 = normalizeKeyPath(variable2);
    let variable3 = variable2[0].charAt(0) === '!';
    let variable4;
    variable4 = canOptimizeSorting(variable3, variable2);
    let variable5 = new Map();
    variable5.set(normalizeKeyPath(variable0.keyPath), {
        storage: variable0,
        score: 1
    });
    for (let indexName of variable0.indexNames) {
        let variable6 = variable0.getIndex(indexName);
        if (!variable6.multiEntry) {
            variable5.set(normalizeKeyPath(variable6.keyPath), {
                storage: variable6,
                score: 0
            });
        }
    }
    let variable7 = simplifyOrderingFieldPaths(variable2);
    if (variable4) {
        prepareSortingOptimization(variable5, variable7);
    }
    prepareFilteringOptimization(variable5, variable1);
    return chooseStorageForQuery(variable5, variable2, variable7, variable4, variable3);
}",Prepares the query that uses the specified filter and record order for execution on this storage .,Returns the storage for the given variable1 and variable2,Returns the appropriate storage for a query .,0,Prediction2
"function promiseWrapper(options, originalCallback, handler) {
  if (typeof originalCallback === 'function') {
    // Callback-based invocation
    handler.call(this, originalCallback);
    return undefined;
  }
  const factory = options.promiseFactory || defaultPromiseFactory;
  const self = this;
  return factory(function handlerWrapper(callback) {
    handler.call(self, callback);
  });
}","function func0(variable0, variable1, variable2) {
    if (typeof variable1 === 'function') {
        variable2.call(this, variable1);
        return undefined;
    }
    const variable3 = variable0.promiseFactory || defaultPromiseFactory;
    const variable4 = this;
    return variable3(function handlerWrapper(callback) {
        variable2.call(variable4, callback);
    });
}",Wraps the callback - based method . When no originalCallback is not defined it returns a Promise .,Returns a promise which will be resolved when the promise is resolved .,Creates a function that returns a promise that will be resolved when a promise is resolved .,0,Tie
"async function getNode(typeName, resolveInfo, context, condition, dbCall, options = {}) {
  // get the GraphQL type from the schema using the name
  const type = resolveInfo.schema._typeMap[typeName]
  assert(type, `Type ""${typeName}"" not found in your schema.`)
  assert(type._typeConfig.sqlTable, `joinMonster can't fetch a ${typeName} as a Node unless it has ""sqlTable"" tagged.`)

  // we need to determine what the WHERE function should be
  let where = buildWhereFunction(type, condition, options)

  // our getGraphQLType expects every requested field to be in the schema definition. ""node"" isn't a parent of whatever type we're getting, so we'll just wrap that type in an object that LOOKS that same as a hypothetical Node type
  const fakeParentNode = {
    _fields: {
      node: {
        type,
        name: type.name.toLowerCase(),
        where
      }
    }
  }
  const namespace = new AliasNamespace(options.minify)
  const sqlAST = {}
  const fieldNodes = resolveInfo.fieldNodes || resolveInfo.fieldASTs
  // uses the same underlying function as the main `joinMonster`
  queryAST.populateASTNode.call(resolveInfo, fieldNodes[0], fakeParentNode, sqlAST, namespace, 0, options, context)
  queryAST.pruneDuplicateSqlDeps(sqlAST, namespace)
  const { sql, shapeDefinition } = await compileSqlAST(sqlAST, context, options)
  const data = arrToConnection(await handleUserDbCall(dbCall, sql, sqlAST, shapeDefinition), sqlAST)
  await nextBatch(sqlAST, data, dbCall, context, options)
  if (!data) return data
  data.__type__ = type
  return data
}","async function func0(variable0, variable1, variable2, variable3, variable4, options = {}) {
    const variable5 = variable1.schema._typeMap[variable0];
    assert(variable5, `Type ""${ variable0 }"" not found in your schema.`);
    assert(variable5._typeConfig.sqlTable, `joinMonster can't fetch a ${ variable0 } as a Node unless it has ""sqlTable"" tagged.`);
    let variable6 = buildWhereFunction(variable5, variable3, options);
    const variable7 = {
        _fields: {
            node: {
                variable5,
                name: variable5.name.toLowerCase(),
                variable6
            }
        }
    };
    const variable8 = new AliasNamespace(options.minify);
    const variable9 = {};
    const variable10 = variable1.variable10 || variable1.fieldASTs;
    queryAST.populateASTNode.call(variable1, variable10[0], variable7, variable9, variable8, 0, options, variable2);
    queryAST.pruneDuplicateSqlDeps(variable9, variable8);
    const {sql, shapeDefinition} = await compileSqlAST(variable9, variable2, options);
    const variable11 = arrToConnection(await handleUserDbCall(variable4, sql, variable9, shapeDefinition), variable9);
    await nextBatch(variable9, variable11, variable4, variable2, options);
    if (!variable11)
        return variable11;
    variable11.__type__ = variable5;
    return variable11;
}",A helper for resolving the Node type in Relay .,This function is the main function of the joinMonster .,Fetch a joinMonster as a Node .,0,Prediction2
"function inlineResourcesFromString(content, urlResolver) {
  // Curry through the inlining functions.
  return [
    inlineTemplate,
    inlineStyle,
    removeModuleId
  ].reduce((content, fn) => fn(content, urlResolver), content);
}","function func0(variable0, variable1) {
    return [
        inlineTemplate,
        inlineStyle,
        removeModuleId
    ].reduce((variable0, fn) => fn(variable0, variable1), variable0);
}",Inline resources from a string content .,Returns a function that takes a variable0 and a variable1 and returns the result .,Apply inline templates inline styles and removeModuleId to an object .,0,Prediction2
"function slope2(that, t) {
  var h = that._x1 - that._x0;
  return h ? (3 * (that._y1 - that._y0) / h - t) / 2 : t;
}","function func0(variable0, variable1) {
    var variable2 = variable0._x1 - variable0._x0;
    return variable2 ? (3 * (variable0._y1 - variable0._y0) / variable2 - variable1) / 2 : variable1;
}",Calculate a one - sided slope .,Get the distance between two points .,Calculates the distance between two variables .,1,Prediction1
"function parse(text, options) {
  options = Object.assign({}, { relaxed: true }, options);

  // relaxed implies not strict
  if (typeof options.relaxed === 'boolean') options.strict = !options.relaxed;
  if (typeof options.strict === 'boolean') options.relaxed = !options.strict;

  return JSON.parse(text, (key, value) => deserializeValue(this, key, value, options));
}","function func0(variable0, variable1) {
    variable1 = Object.assign({}, { relaxed: true }, variable1);
    if (typeof variable1.relaxed === 'boolean')
        variable1.strict = !variable1.relaxed;
    if (typeof variable1.strict === 'boolean')
        variable1.relaxed = !variable1.strict;
    return JSON.func0(variable0, (key, value) => deserializeValue(this, key, value, variable1));
}",Parse an Extended JSON string constructing the JavaScript value or object described by that string .,Deserialize a JSON object .,JSON . func0,1,Prediction1
"function ArrayParam(name, shortName, sep, process) {
      if (sep == null) {
        sep = '.';
      }
      this.sep = sep;
      ArrayParam.__super__.constructor.call(this, name, shortName, process);
    }","function func0(variable0, variable1, variable2, variable3) {
    if (variable2 == null) {
        variable2 = '.';
    }
    this.variable2 = variable2;
    func0.__super__.function Object() { [native code] }.call(this, variable0, variable1, variable3);
}",A parameter that represents an array,Object constructor .,Object constructor .,1,Tie
"function reflowText (text, width, gfm) {
      // Hard break was inserted by Renderer.prototype.br or is
      // <br /> when gfm is true
      var splitRe = gfm ? HARD_RETURN_GFM_RE : HARD_RETURN_RE,
          sections = text.split(splitRe),
          reflowed = [];
    
      sections.forEach(function (section) {
        var words = section.split(/[ \t\n]+/),
            column = 0,
            nextText = '';
    
        words.forEach(function (word) {
          var addOne = column != 0;
          if ((column + textLength(word) + addOne) > width) {
            nextText += '\n';
            column = 0;
          } else if (addOne) {
            nextText += "" "";
            column += 1;
          }
          nextText += word;
          column += textLength(word);
        });
        reflowed.push(nextText);
      });
      return reflowed.join('\n');
    }","function func0(variable0, variable1, variable2) {
    var variable3 = variable2 ? HARD_RETURN_GFM_RE : HARD_RETURN_RE, variable4 = variable0.split(variable3), variable5 = [];
    variable4.forEach(function (section) {
        var words = section.split(/[ \t\n]+/), column = 0, nextText = '';
        words.forEach(function (word) {
            var addOne = column != 0;
            if (column + textLength(word) + addOne > variable1) {
                nextText += '\n';
                column = 0;
            } else if (addOne) {
                nextText += ' ';
                column += 1;
            }
            nextText += word;
            column += textLength(word);
        });
        variable5.push(nextText);
    });
    return variable5.join('\n');
}",Munge \ n s and spaces in text so that the number of characters between \ n s is less than or equal to width .,Split a string into lines of text .,function 0 - > string,1,Prediction1
"function load(obj) {
  var name, root;
  root = typeof global !== ""undefined"" && global !== null ? global : this;
  for(name in obj) {
    if(obj.hasOwnProperty(name)) {
      root[name] = obj[name];
    }
  }
}","function func0(variable0) {
    var variable1, variable2;
    variable2 = typeof global !== 'undefined' && global !== null ? global : this;
    for (variable1 in variable0) {
        if (variable0.function hasOwnProperty() { [native code] }(variable1)) {
            variable2[variable1] = variable0[variable1];
        }
    }
}",load all the contract identifiers into the global scope,Copy properties from one object to another .,Copy variable0 to variable2,1,Prediction1
"function constructSelectEvent(nativeEvent, nativeEventTarget) {
  // Ensure we have the right element, and that the user is not dragging a
  // selection (this matches native `select` event behavior). In HTML5, select
  // fires only on input and textarea thus if there's no focused element we
  // won't dispatch.
  var doc = getEventTargetDocument(nativeEventTarget);

  if (mouseDown || activeElement$1 == null || activeElement$1 !== getActiveElement(doc)) {
    return null;
  }

  // Only fire when selection has actually changed.
  var currentSelection = getSelection(activeElement$1);
  if (!lastSelection || !shallowEqual(lastSelection, currentSelection)) {
    lastSelection = currentSelection;

    var syntheticEvent = SyntheticEvent.getPooled(eventTypes$3.select, activeElementInst$1, nativeEvent, nativeEventTarget);

    syntheticEvent.type = 'select';
    syntheticEvent.target = activeElement$1;

    accumulateTwoPhaseDispatches(syntheticEvent);

    return syntheticEvent;
  }

  return null;
}","function func0(variable0, variable1) {
    var variable2 = getEventTargetDocument(variable1);
    if (mouseDown || activeElement$1 == null || activeElement$1 !== getActiveElement(variable2)) {
        return null;
    }
    var variable3 = getSelection(activeElement$1);
    if (!lastSelection || !shallowEqual(lastSelection, variable3)) {
        lastSelection = variable3;
        var syntheticEvent = SyntheticEvent.getPooled(eventTypes$3.select, activeElementInst$1, variable0, variable1);
        syntheticEvent.type = 'select';
        syntheticEvent.target = activeElement$1;
        accumulateTwoPhaseDispatches(syntheticEvent);
        return syntheticEvent;
    }
    return null;
}",Poll selection to see whether it s changed .,Creates a synthetic event for a select event .,The event handler for the select event .,1,Prediction1
"function alternative (options, { captcha: { url, siteKey } }) {
  // Here you do some magic with the siteKey provided by cloudscraper
  console.error('The url is ""' + url + '""');
  console.error('The site key is ""' + siteKey + '""');
  return Promise.reject(new Error('This is a dummy function'));
}","function func0(variable0, {
    captcha: {url, siteKey}
}) {
    console.error('The url is ""' + url + '""');
    console.error('The site key is ""' + siteKey + '""');
    return Promise.reject(new Error('This is a dummy function'));
}",An example handler with destructuring arguments,Return a promise that resolves to a promise .,This is a dummy function,1,Tie
"function planner(origin, dest, opts)  {

  var tasks   = new TaskPlanner();
  var cmds    = generateCommands(origin, dest);
  var state   = _.cloneDeep(origin);
  var result;

  opts = xtend(defaults, opts);

  assert(opts.mode === 'quick' || opts.mode === 'safe', 'unknown mode');

  tasks.addTask({ cmd: 'nop' }, {});
  generateDetachTasks(tasks, origin, opts);
  generateDetachTasks(tasks, dest, opts); // needed because of safe mode
  generateConfigureTasks(tasks, origin, dest, opts);

  _.forIn(state.topology.containers, function(container) {
    container.running = true;
    container.started = true;
    container.added = true;
  });

  _.forIn(dest.topology.containers, function(container) {
    var containers = state.topology.containers;

    if (!containers[container.id]) {
      containers[container.id] = {
        id: container.id,
        containedBy: container.containedBy,
        running: false,
        started: false,
        added: false
      };
    }
  });

  result = cmds.reduce(function(acc, cmd) {
    var plan = tasks.plan(state, cmd);
    if (!plan) {
      throw new Error('unable to generate ' + cmd.cmd + ' for id ' + cmd.id);
    }
    return acc.concat(plan);
  }, []).filter(function(cmd) {
    return cmd && cmd.cmd !== 'nop';
  });

  if (!opts.noLinkUnlinkRemove) {
    result = linkFilter(result);
  }

  return result;
}","function func0(variable0, variable1, variable2) {
    var variable3 = new TaskPlanner();
    var variable4 = generateCommands(variable0, variable1);
    var variable5 = _.cloneDeep(variable0);
    var variable6;
    variable2 = xtend(defaults, variable2);
    assert(variable2.mode === 'quick' || variable2.mode === 'safe', 'unknown mode');
    variable3.addTask({ cmd: 'nop' }, {});
    generateDetachTasks(variable3, variable0, variable2);
    generateDetachTasks(variable3, variable1, variable2);
    generateConfigureTasks(variable3, variable0, variable1, variable2);
    _.forIn(variable5.topology.containers, function (container) {
        container.running = true;
        container.started = true;
        container.added = true;
    });
    _.forIn(variable1.topology.containers, function (container) {
        var containers = variable5.topology.containers;
        if (!containers[container.id]) {
            containers[container.id] = {
                id: container.id,
                containedBy: container.containedBy,
                running: false,
                started: false,
                added: false
            };
        }
    });
    variable6 = variable4.reduce(function (acc, cmd) {
        var plan = variable3.plan(variable5, cmd);
        if (!plan) {
            throw new Error('unable to generate ' + cmd.cmd + ' for id ' + cmd.id);
        }
        return acc.concat(plan);
    }, []).filter(function (cmd) {
        return cmd && cmd.cmd !== 'nop';
    });
    if (!variable2.noLinkUnlinkRemove) {
        variable6 = linkFilter(variable6);
    }
    return variable6;
}",Creates a new planner,This function is the main entry point of the function . It is the main entry point of the function .,Creates a new TaskPlanner instance .,0,Prediction2
"function score(backend, errorBasis) {
    if (typeof errorBasis !== ""number"" && !errorBasis)
        errorBasis = Date.now();
    const timeSinceError = (errorBasis - backend.lastError);
    const statuses = backend.statuses;
    const timeWeight = (backend.lastError === 0 && 0) ||
        ((timeSinceError < 1000) && 1) ||
        ((timeSinceError < 3000) && 0.8) ||
        ((timeSinceError < 5000) && 0.3) ||
        ((timeSinceError < 10000) && 0.1) ||
        0;
    if (statuses.length == 0)
        return 0;
    let requests = 0;
    let errors = 0;
    for (let i = 0; i < statuses.length; i++) {
        const status = statuses[i];
        if (status && !isNaN(status)) {
            requests += 1;
            if (status >= 500 && status < 600) {
                errors += 1;
            }
        }
    }
    const score = (1 - (timeWeight * (errors / requests)));
    backend.healthScore = score;
    backend.scoredRequestCount = backend.requestCount;
    return score;
}","function func0(variable0, variable1) {
    if (typeof variable1 !== 'number' && !variable1)
        variable1 = Date.now();
    const variable2 = variable1 - variable0.lastError;
    const variable3 = variable0.variable3;
    const variable4 = variable0.lastError === 0 && 0 || variable2 < 1000 && 1 || variable2 < 3000 && 0.8 || variable2 < 5000 && 0.3 || variable2 < 10000 && 0.1 || 0;
    if (variable3.length == 0)
        return 0;
    let variable5 = 0;
    let variable6 = 0;
    for (let i = 0; i < variable3.length; i++) {
        const variable7 = variable3[i];
        if (variable7 && !isNaN(variable7)) {
            variable5 += 1;
            if (variable7 >= 500 && variable7 < 600) {
                variable6 += 1;
            }
        }
    }
    const func0 = 1 - variable4 * (variable6 / variable5);
    variable0.healthScore = func0;
    variable0.scoredRequestCount = variable0.requestCount;
    return func0;
}",compute a backend health score with time + status codes,Calculates the health score of a request .,Returns a function that calculates the health score .,1,Prediction1
